,Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Age,Gender,TransactionCount,Duration,Peak Season,Before Season months,Months left for End of Season,AVG Sales,avg order cost,Loan Amount
13,Bethany Osborne,191641.01,202259.92,204849.66,696243.92,516771.27,510968.19,581329.74,642502.76,403175.5,675093.54,646378.06,694341.56,36,1,3028,7,0,1,8,497130,164.1776750330251,635937.5966375713
14,Kelly George,81664.53,103258.03,94592.66,77829.72,67130.4,86609.39,196533.29,247063.83,153990.59,91043.28,109621.6,88590.14,28,0,2575,16,1,0,1,116494,45.24038834951456,367792.30536960426
15,Melinda Duarte,154003.75,150644.03,124126.68,135079.68,91315.17,108116.74,136792.54,147956.08,142122.31,120123.21,271372.54,111895.58,35,1,2298,18,0,3,0,141129,61.41383812010444,551219.7815651703
16,Shannon Huffman,155720.58,205976.94,136539.62,136828.86,217055.5,413815.14,587277.5,447054.77,516849.07,472418.35,159165.07,214372.17,75,1,761,10,0,3,4,305256,401.12483574244413,452990.27866179065
17,Brittany Phelps,87163.29,95949.59,93424.04,94615.0,84083.82,124079.91,108554.11,102637.54,108143.95,275898.37,319104.23,256469.74,55,1,4011,7,1,0,2,145844,36.36100723011718,266393.06460404926
18,Jessica Jackson,111790.13,138782.47,140742.12,125363.72,108626.49,122321.43,94597.61,105580.34,130120.22,102794.66,372725.96,285769.53,31,1,3059,12,1,0,0,153268,50.10395554102648,513486.07355403074
19,Meredith Ward,227065.91,241607.72,228503.56,149170.74,223401.98,140036.5,245337.8,139564.0,431009.53,611662.71,534610.34,462056.48,73,0,4417,17,1,0,0,302836,68.56146705908988,804251.2892882759
20,Michael Lopez,76129.23,102591.21,75625.59,125231.29,104869.1,95882.87,116984.6,71242.54,111959.84,105537.81,127256.28,229681.31,61,1,4382,15,1,0,0,111916,25.53993610223642,308185.08447696443
21,Wendy Wilkerson,83555.6,66787.65,64616.38,117373.79,46306.79,68640.72,78431.07,60891.34,83598.25,50638.88,46739.56,51187.67,46,0,2089,13,0,1,0,68231,32.662039253231214,211228.76552239526
22,Stephen Allen,76712.23,71106.94,83057.45,50300.11,128410.25,71096.73,71640.14,52421.88,87492.83,53781.94,52982.24,62983.23,69,1,3747,4,0,3,0,71832,19.170536429143315,205560.82937876595
23,Russell Sanchez,122535.65,145497.99,168657.89,288580.41,377509.75,234512.33,306530.95,375625.08,328489.32,332601.15,145130.06,113337.88,72,0,1950,6,1,0,6,244917,125.59846153846154,517734.1511690625
24,Kelly Ellis,45774.91,36709.72,34716.36,48492.48,38618.86,54455.61,43102.84,56200.89,41815.57,61450.17,54708.89,83738.57,48,1,1884,7,1,0,0,49982,26.52972399150743,104727.62771283933
25,Randy Olson,161344.68,124189.48,167785.29,335952.77,472423.19,416041.51,383861.41,172769.17,168556.17,112953.01,195359.34,162378.04,47,0,1609,16,1,0,0,239468,148.83032939714107,503521.94866844616
26,Jacob Turner,274170.51,193402.45,259395.73,161728.09,86673.28,88694.48,110109.98,109923.02,113093.47,144706.98,151016.81,150051.92,20,1,1845,13,1,0,2,153581,83.24173441734418,323779.51116153336
27,Timothy Espinoza,114478.47,121187.02,171087.38,128042.64,169708.23,137169.73,169525.51,124985.25,205855.11,128543.27,89454.43,97362.71,72,0,1359,5,0,3,6,138117,101.63134657836645,228410.48495512654
28,Larry Chavez,91812.64,117761.11,151251.64,143338.9,154360.68,93034.29,91717.88,155970.3,384179.96,146160.9,110344.29,104550.53,17,1,1632,11,0,1,0,145374,89.07720588235294,572375.5297492938
29,Kristin James,206858.4,178385.78,198885.8,162827.1,134215.05,178771.24,155004.28,267248.42,213307.11,237816.53,154251.38,158896.45,50,1,2776,23,1,0,0,187206,67.43731988472622,786373.1490006436
30,Jennifer Payne,36682.47,42217.73,47575.61,28661.59,34061.13,33308.71,27564.71,36825.58,41593.0,37860.84,27403.44,76763.57,50,0,519,6,0,1,0,39210,75.54913294797687,110109.67546024518
31,Hannah Roberts,108525.14,109041.05,208827.59,69521.25,106459.32,104172.12,91610.38,75612.38,105690.96,101910.81,88775.36,114512.07,41,0,1194,24,1,0,0,107055,89.6608040201005,484212.48392048565
32,Darrell Oneal,71383.62,77963.64,91563.87,114753.84,180989.61,146957.68,223085.33,177386.64,165660.88,187401.49,140023.75,93634.33,72,0,4488,14,1,0,1,139234,31.02361853832442,431797.97444748326
33,Tim Kennedy,202408.98,177124.38,568555.39,519009.73,607505.92,368441.35,166307.3,149945.17,220935.83,187558.57,187095.15,130416.4,28,0,1056,7,0,2,3,290442,275.03977272727275,355742.31438930536
34,Joseph Price,50407.07,58970.2,73470.16,66828.37,53556.01,115623.56,159511.33,114794.63,69281.16,70711.34,53615.95,51547.68,40,1,4578,13,1,0,1,78193,17.08016601135867,144476.25368991675
35,Robert Taylor,149719.35,232746.35,344783.69,190483.31,165388.96,153226.34,130272.11,203802.43,136963.53,172651.82,175602.81,185811.62,80,1,3094,5,0,2,1,186788,60.3710407239819,488798.9550663285
36,Teresa Valencia,49607.05,49305.49,80338.19,60910.33,108171.02,160847.85,152214.96,75584.09,72911.48,50904.1,70713.57,83947.05,67,1,2585,6,0,3,2,84621,32.73539651837524,319177.10247022664
37,Claudia Brooks,43515.47,50008.92,53589.82,47263.04,72533.16,69571.07,62396.11,57665.73,44345.82,59456.7,76081.35,91497.24,65,0,3478,19,1,0,0,60660,17.44105807935595,269841.1885621856
38,Scott Morse,48667.49,43577.64,43376.95,54637.86,48407.11,40580.15,36435.14,47482.48,34546.85,42678.11,42448.4,48280.68,70,0,1122,6,1,0,0,44260,39.44741532976827,133842.77283121142
39,Michelle Green,55582.49,35567.87,38251.21,32769.8,45803.08,37258.93,48860.16,37151.19,38229.22,52239.8,100728.12,98116.41,23,1,3531,7,0,3,1,51713,14.645426224865478,107305.44796855997
40,Steven Cortez,92217.91,75028.8,67803.14,239238.68,186658.39,213964.92,280609.84,100865.7,79007.88,116807.24,107691.03,99858.84,43,1,880,21,0,3,3,138313,157.17386363636365,402249.90373242355
41,Kyle Owen,72104.78,57698.98,71671.2,251303.11,232174.1,185690.69,195984.22,268238.96,247859.46,206793.08,81696.86,81042.96,62,0,2993,4,0,1,6,162688,54.35616438356164,163575.78151604848
42,Toni Wolf,42098.44,67952.27,48541.7,57362.08,61361.76,61704.96,59624.71,44610.4,154360.34,126416.19,67293.1,68676.46,36,1,2275,4,1,0,0,71667,31.501978021978022,190646.7671790132
43,Nathan Schaefer,48463.31,56837.77,45038.6,65752.12,59121.46,60610.68,41863.87,50447.6,52643.6,64992.36,53759.35,64544.76,49,0,1172,10,0,3,0,55340,47.218430034129696,141892.64658629504
44,Nathan Morales,44426.11,40243.33,50128.49,43507.37,52669.48,44319.06,44349.33,42866.76,84026.09,55017.24,47492.53,36356.65,49,1,2050,16,1,0,1,48784,23.797073170731707,131221.8906207785
45,Teresa Mccarthy,146203.18,223856.25,146256.39,184441.97,159548.03,203337.51,144133.62,200963.14,177368.98,148383.08,275478.73,223053.03,44,0,1526,14,0,2,1,186085,121.9429882044561,605414.0969533749
46,Jill Jenkins,206183.51,169862.52,570631.06,547327.65,458808.54,484075.68,385874.69,621180.81,383499.36,212814.93,140408.25,200052.47,77,0,1168,10,1,0,2,365060,312.5513698630137,671225.7533720271
47,Misty Davis,81703.79,117687.32,112810.28,115534.39,109489.62,90382.6,117348.81,106837.71,83421.29,154664.17,225426.75,129869.02,30,0,416,17,0,3,2,120431,289.49759615384613,434290.68456910935
48,Jennifer Chen,245231.63,227008.02,160673.66,151916.19,238823.31,194830.7,186173.23,258544.1,155509.68,197148.88,228285.41,185797.71,78,0,2237,18,1,0,0,202495,90.52078676799285,796459.8781980412
49,Jeremy Gomez,39453.0,59020.01,59777.38,40309.58,39388.19,62689.85,141455.89,113450.53,93029.32,132094.11,140364.94,51847.43,80,1,2499,8,0,1,4,81073,32.4421768707483,240254.03780241776
50,Jason Horton,193195.36,143885.7,331675.93,495197.52,406980.05,524205.8,518737.69,322869.95,475472.63,326821.83,460411.07,524776.4,40,1,3911,19,0,2,9,393686,100.66121196624904,850694.5829996825
51,Jeffrey Jacobs,41668.83,126372.42,157253.03,37918.52,42420.62,67876.01,46847.72,60534.08,64619.26,55428.18,47782.01,44212.1,35,1,1460,16,1,0,1,66078,45.25890410958904,228642.4130992603
52,Joel Ward,171458.88,164300.43,191111.79,150833.88,186316.83,191448.38,479526.11,168027.49,247068.78,144704.67,201395.06,228077.09,48,1,2212,6,1,0,0,210356,95.09764918625677,586267.538224379
53,Hannah Lee,60762.37,93120.82,79188.9,70365.03,101432.29,124760.4,129225.02,58202.23,96022.63,84599.35,83512.77,61663.1,26,0,3956,4,0,2,1,86905,21.96789686552073,202635.9012333907
54,Cody Lopez,106720.58,64955.52,116411.28,103321.72,151060.86,134030.8,143611.66,192760.09,106801.77,68488.85,116650.48,64107.61,64,0,2790,3,1,0,3,114077,40.88781362007168,192507.19362726813
55,Derek Ellis,167697.99,375539.76,254927.38,281978.36,298367.46,340761.04,414467.77,311156.92,312834.9,375222.34,365749.21,405162.4,15,0,4720,21,1,0,5,325322,68.92415254237288,586911.3595575608
56,Kathleen Pearson,234542.93,222262.6,233172.49,179482.27,206497.16,159244.39,151484.61,156702.27,331616.88,235942.54,304410.51,236227.02,52,0,59,6,0,2,3,220965,3745.169491525424,549116.099078219
57,Johnny Young,214269.07,212017.79,187281.32,216671.31,150839.1,194757.31,241871.08,201535.61,207666.19,264603.08,426032.48,327696.76,75,0,347,15,0,1,2,237103,683.2939481268012,805031.8828527939
58,Jeff Tucker,83439.99,88534.93,197867.82,316516.12,217723.74,222013.36,266771.31,280196.39,254515.41,204964.83,304842.8,275293.71,21,0,4343,3,1,0,0,226057,52.05088648399724,231045.99961248317
59,Stephanie Harris,60142.95,59248.39,56809.41,73203.56,74844.9,66269.65,68693.82,57080.62,115244.54,108816.03,79519.81,60735.67,36,0,2177,6,0,2,2,73384,33.70877354157097,146106.8186895107
60,Bryan Villegas,40895.87,54717.31,64168.59,43794.13,48402.28,116044.71,149503.88,150986.21,104138.6,133581.67,185586.53,147280.22,42,1,2820,21,1,0,3,103258,36.61631205673759,253862.8068756765
61,Kyle Nichols,167622.24,211432.19,166358.84,162636.54,144050.58,154441.58,234652.74,192419.38,226599.93,206608.55,427317.11,511904.28,28,0,3322,5,1,0,0,233837,70.39042745334136,407171.4773055887
62,Ann Tucker,119563.5,109660.61,119347.57,162807.86,93206.76,117663.55,289203.47,437599.91,148288.96,121215.31,105275.31,144299.08,27,1,2583,23,1,0,0,164011,63.4963221060782,577401.6567178502
63,Alexandra Clay,52709.45,63597.62,71757.99,149807.85,120780.45,112802.79,140736.11,92884.85,65594.11,90953.15,69135.38,77779.56,24,0,3933,14,1,0,0,92378,23.48792270531401,286135.874477012
64,Scott Gordon,54972.12,51857.82,52848.2,32552.88,155087.58,94158.67,113063.31,51052.56,38580.43,54167.83,42288.99,51781.28,34,1,4496,18,0,2,2,66034,14.687277580071175,204369.37695884224
65,James Anderson,82216.24,114028.43,53939.36,40676.66,67362.3,66260.76,38778.13,37961.0,54677.15,58928.28,57793.48,54585.09,54,0,1625,13,0,2,1,60601,37.292923076923074,153120.18550723372
66,Samuel Mullen,50935.23,63989.64,54603.5,59421.81,54463.39,38129.63,41566.87,43959.19,40520.96,62242.34,56263.79,72924.03,33,1,1129,9,1,0,0,53252,47.1674047829938,237998.66566362293
67,Sarah Phillips,162307.32,475839.76,468540.37,369211.19,196379.44,190109.78,121456.39,117056.46,146322.61,165998.71,202623.81,163561.04,39,0,2717,8,1,0,1,231617,85.24733161575267,558724.0681240498
68,Tracy Nixon,123228.55,211678.85,214504.3,291484.89,180988.87,205171.38,279827.19,296044.44,172803.71,179007.03,185338.93,108861.18,25,1,2574,10,0,3,9,204078,79.28438228438229,323129.1953047029
69,Aaron Lynn,201978.07,245905.58,557634.44,452896.18,408716.31,434522.05,584444.11,468262.49,207185.17,182940.79,157636.98,179894.68,38,0,886,14,1,0,2,340168,383.9367945823928,638632.5403311283
70,Angelica Cook,85747.01,92791.72,78103.94,80838.27,56731.12,68841.5,99473.56,88492.95,98025.7,76781.72,79779.37,248728.38,30,0,3776,9,0,1,0,96195,25.475370762711865,334429.0539379434
71,Daniel Williams,93362.67,73837.2,96123.13,100578.82,300805.75,259376.74,206169.78,201149.36,244588.21,232570.79,184462.23,72515.32,57,0,2535,16,0,2,6,172128,67.90059171597633,296594.24068388937
72,Christopher Bolton,108613.09,150856.21,117678.29,262795.65,220878.68,237393.36,231822.67,112125.67,107731.0,94084.85,134638.57,134620.14,63,0,3335,12,0,2,3,159437,47.807196401799104,324662.03996846016
73,Richard Butler,68570.57,72517.59,71211.17,52429.98,69769.15,76492.68,53763.75,75014.04,159384.81,131403.92,138516.11,75359.22,15,0,904,16,0,3,2,87036,96.27876106194691,223262.78782537614
74,Raymond Davis,106798.19,116856.84,268123.86,293691.43,318453.56,107770.05,110132.87,141050.77,102211.14,147927.87,127471.93,145527.36,44,1,4074,8,0,3,2,165501,40.623711340206185,473603.18044244015
75,Ronnie Nichols,115985.55,85104.33,365695.95,280878.31,226405.5,240697.38,305498.59,130144.68,121659.43,114314.51,85779.91,91663.49,69,1,1003,4,0,3,4,180319,179.77966101694915,315292.49620325555
76,Adam Li,113742.2,104847.96,112325.27,83931.88,83123.99,68653.44,77502.1,77038.26,98969.96,120691.71,201126.29,172645.83,42,1,228,11,0,2,1,109550,480.4824561403509,359509.5291086712
77,Nathan Miller,90009.9,239088.82,243531.62,215808.04,277086.65,232406.51,302896.5,245879.65,203753.1,261419.93,227822.88,130777.75,60,0,2960,9,1,0,8,222540,75.18243243243244,234638.7382983264
78,Brenda Hernandez,21513.21,86198.53,77960.73,62996.17,78213.13,95597.37,57594.77,67763.57,58342.03,71093.58,69851.47,23417.85,56,1,1306,7,0,2,9,64212,49.166921898928024,119890.82059851964
79,Erin Mcguire,126150.96,137099.59,132592.11,144234.09,88985.56,136170.22,280462.11,315681.9,91014.03,134033.87,140433.87,150954.96,70,1,2444,9,1,0,1,156484,64.0278232405892,236622.66927557936
80,Charlene Lowe,188062.95,245390.38,188459.6,165008.65,222046.41,189317.89,182334.97,171863.4,219476.55,245692.74,234211.07,340550.17,50,1,612,6,0,2,0,216035,352.9983660130719,677663.0714694717
81,Margaret Henderson,62331.34,77072.31,275212.13,263423.17,282886.2,198460.36,247177.5,242584.76,82283.95,81592.11,80621.14,75308.77,78,0,4368,10,0,2,5,164079,37.56387362637363,266740.0857659317
82,Miranda Moses,117960.97,123954.1,125562.22,310946.22,260441.37,364549.25,432252.96,273126.48,113656.96,154438.9,92861.58,91804.62,28,1,3175,10,1,0,1,205130,64.60787401574804,315916.00774637325
83,William Rose,52732.33,60975.53,41281.13,107874.75,156035.15,187274.17,132361.53,108762.05,154802.61,112727.46,56175.21,48857.75,30,0,1220,8,1,0,4,101655,83.32377049180327,140406.16073751147
84,Scott Espinoza,151238.69,160594.02,109143.3,168820.12,105723.82,104258.31,127093.84,170296.84,123514.57,153960.27,119495.48,247148.15,62,1,4946,8,0,2,0,145107,29.33825313384553,643428.4120526712
85,Karen Odonnell,218797.36,205328.93,195728.1,182118.7,548396.71,153712.18,208587.3,179444.43,141091.04,187689.97,240211.14,139270.11,69,0,789,10,1,0,0,216698,274.6489226869455,418472.1564436109
86,Albert Reynolds,18817.21,33710.95,29641.85,28360.4,29682.83,19117.79,27677.32,50930.64,64826.72,21681.18,31490.66,30123.89,64,1,1795,15,0,1,1,32172,17.923119777158774,85111.83276785037
87,Kelly Snyder,47994.25,59970.09,47021.73,44594.43,120590.02,62350.8,62082.95,46511.54,47917.89,49009.42,61533.71,42155.73,29,1,3408,12,0,1,0,57644,16.914319248826292,137038.53381654384
88,Bernard Edwards,40321.38,39626.15,24118.86,27895.21,32886.28,30865.54,30279.45,37508.19,30014.68,40079.75,62500.06,35918.15,21,1,2956,18,0,2,0,36001,12.178958051420839,124309.08576055418
89,Samantha Gill,139666.68,146001.33,97317.04,126722.14,123979.24,145904.32,113306.01,95951.2,89442.42,280363.38,270805.61,102494.04,53,0,3100,5,1,0,1,144329,46.55774193548387,432678.08448368136
90,Amy Parker,108196.69,66490.51,82845.13,74198.0,94127.18,79306.01,88740.53,72635.28,81284.66,252480.38,72146.21,65193.56,35,0,2921,21,0,3,0,94804,32.45600821636426,403881.9096906524
91,Jesse Hughes,209879.09,186111.01,162019.2,169319.95,165527.65,201845.4,136524.49,138500.96,226845.29,198107.95,502135.62,406226.95,48,0,1737,13,1,0,1,225254,129.67990788716176,686383.1020860296
92,Vincent White,116284.92,70766.22,92915.01,109626.62,67431.22,68563.33,75748.77,91570.35,203308.96,72586.37,83248.29,86885.98,74,1,4972,5,1,0,0,94911,19.089098954143203,219803.37520227596
93,Thomas Jordan,198922.85,230386.21,129821.21,212552.43,184521.32,202162.44,196384.04,176627.52,205988.59,190052.91,394263.26,453267.36,31,0,4291,7,0,1,1,231246,53.89093451409928,576323.7060835924
94,Nicholas Cardenas,117273.05,494020.06,447818.06,466506.1,340692.49,207643.27,173171.66,149220.67,177217.11,164937.79,127907.49,173060.85,38,1,2397,19,1,0,3,253289,105.6691697955778,786703.4488768164
95,Deanna Mcdonald,149073.01,164594.1,156339.08,100308.65,137145.39,239253.86,187178.4,266970.42,224366.79,165529.7,144018.34,139064.84,53,0,4554,9,0,3,3,172820,37.94905577514273,314644.8608826147
96,John Cox,200982.97,171427.5,139966.23,209495.92,162535.22,168286.35,207451.89,167204.12,199528.09,284098.65,222412.75,213910.44,69,0,752,18,0,2,0,195608,260.1170212765957,730706.117172234
97,Brian Cuevas,37757.33,31768.98,43595.51,39820.41,38550.82,118301.53,100768.1,94739.75,69642.84,65760.92,96991.35,38293.1,60,1,4909,16,0,2,5,64666,13.17294764717865,135203.85718279213
98,Curtis Alexander,75806.84,75442.71,58859.49,101636.42,107364.17,101182.44,118367.33,91540.28,74291.56,87460.24,89223.44,85275.74,31,0,4925,6,0,2,0,88871,18.0448730964467,242147.92095211023
99,Bryan Hall,283611.66,227783.24,305931.87,238452.02,233605.37,201760.29,261700.9,303859.0,301279.88,213114.53,109599.51,145327.76,31,0,1223,9,1,0,6,235502,192.5609157808667,326718.93522423727
100,James Small,135462.14,136562.44,139070.71,132007.84,127691.82,162214.15,184521.0,193913.03,152645.93,322661.53,298212.05,238839.97,70,1,3793,18,0,1,2,185317,48.85763248088584,716481.2716596113
101,Megan Hendricks,27514.7,35502.07,35450.64,33516.07,31455.38,27938.48,27614.07,36290.8,30930.76,25890.26,58988.95,26580.32,77,1,752,17,1,0,0,33139,44.067819148936174,161072.4707959848
102,Dustin Martinez,115124.07,161315.15,131931.72,134419.55,119382.5,113096.65,122610.78,148711.07,157510.41,210401.13,257403.94,177162.72,72,1,3744,10,1,0,1,154089,41.15625,688795.0187357495
103,Bobby Berry,340783.29,482768.23,354267.12,263557.27,299168.88,176797.01,122653.09,109124.49,125913.52,175967.65,103114.44,189729.98,35,0,4836,11,0,3,4,228654,47.28163771712159,392411.0439555523
104,Morgan Brown,52515.72,44227.91,36808.48,54027.04,51001.41,60037.73,43305.99,37362.25,48247.04,49227.83,57872.08,104219.29,40,0,163,11,1,0,0,53238,326.6134969325153,137523.74882532447
105,Melissa Gallagher,49188.04,63745.97,73082.81,55159.48,53348.13,96826.35,97924.95,52334.6,58975.65,35357.93,47092.82,52141.1,66,1,2787,12,0,1,5,61265,21.982418371008254,140626.39661124285
106,Cody Tate,66987.66,58898.05,64917.49,53590.01,85717.38,67845.12,214864.12,154798.18,57090.71,71271.08,72373.83,87467.34,23,0,1074,16,0,2,1,87985,81.92271880819366,267610.8688042084
107,Elizabeth Valencia,59628.52,69157.47,90989.89,86992.66,91452.94,86352.71,100032.29,57582.13,89455.1,88712.76,146304.77,77014.0,20,0,3404,9,0,2,0,86973,25.55023501762632,275399.4039256519
108,Heather Walker,97569.42,105874.27,89447.71,96033.01,150246.94,92890.0,107592.78,159140.34,425360.41,117433.97,123347.71,102065.07,76,1,1321,7,0,3,0,138917,105.16048448145344,324945.93479531363
109,Troy Meadows,80453.59,86340.19,135238.2,127295.24,124404.88,87301.4,93697.85,78551.25,88069.88,149408.35,113979.44,122230.3,31,1,4239,8,0,3,0,107248,25.300306676102853,356079.15665930137
110,Sara Saunders,118687.0,172974.8,131189.21,302238.32,290759.81,348066.92,363520.56,280668.72,137300.43,150575.2,141169.39,157457.36,73,0,4813,8,0,1,4,216217,44.92354041138583,780667.3783842049
111,Kari Yates,229678.02,213602.08,133872.87,226225.18,199674.68,133811.73,217930.97,178351.54,194742.96,590026.48,407479.41,216798.9,48,0,1590,7,0,2,1,245183,154.20314465408805,635558.6779502097
112,Dustin Baker,95175.14,56595.76,91372.88,67054.28,64610.02,72565.25,72924.69,62487.88,75073.41,72371.96,76969.27,169412.53,65,0,2791,15,1,0,0,81384,29.159441060551774,284604.0181733806
113,Brandon Barajas,181124.16,298023.77,185441.7,167036.16,182280.25,113504.58,173160.39,146574.3,153314.97,175694.19,119780.09,202502.75,20,1,2083,12,1,0,0,174870,83.95103216514643,576220.0918282941
114,Kathleen Mills,98357.48,139362.63,122664.01,101379.71,219601.12,223349.55,165393.28,154627.81,126536.45,126991.7,136012.1,138793.39,33,1,1883,3,1,0,1,146089,77.58311205523101,270139.1603969966
115,Daniel Taylor,23385.4,27574.22,17005.72,20753.05,17097.16,27420.34,48820.84,25471.71,20059.22,22106.4,28133.69,23485.83,60,0,99,15,1,0,0,25109,253.62626262626262,79977.90448256514
116,Dalton Walker,193039.8,200370.67,216359.54,212545.71,188091.8,147319.88,152798.75,202303.38,345623.87,362080.9,384579.81,181998.8,55,1,2909,13,1,0,0,232259,79.8415262976968,484627.64836621704
117,Todd Morales,200960.05,214458.52,353797.17,315209.35,489962.94,330814.86,397276.78,352683.16,204976.73,244242.62,204763.92,210706.6,19,0,1385,12,1,0,4,293321,211.78411552346572,864714.489693994
118,Joseph Serrano,194197.84,241290.08,246575.55,170481.36,196487.56,185914.42,502170.26,170653.64,161347.45,215044.66,148161.19,185257.45,56,0,1048,8,0,2,0,218132,208.1412213740458,463007.87853574177
119,Deborah Randolph,62227.26,79986.14,80581.79,76926.48,87740.2,83858.32,78939.9,60440.39,165820.55,169629.76,152233.63,130879.52,68,0,3079,8,1,0,3,102439,33.27021760311789,168678.01794763963
120,Theresa Mendez,213935.1,119618.34,166825.97,120773.31,177779.66,178729.25,183367.65,210467.51,197842.19,428409.94,117280.81,148297.92,29,0,3979,7,0,3,0,188611,47.401608444332744,824304.0683341109
121,Erica Strong,145071.81,356084.47,337341.7,473994.71,332364.4,306831.87,453377.11,441013.78,440097.8,326643.88,152827.93,147221.92,78,0,4744,8,1,0,3,326073,68.73376897133221,728628.3359302147
122,Melinda Mcfarland,83760.34,145165.8,144391.7,127415.19,130725.75,117240.53,91095.45,147035.89,125142.61,94757.0,301942.67,304661.38,34,0,381,13,1,0,1,151111,396.61679790026244,337250.37609608244
123,Vanessa Kennedy,103275.61,143529.36,131140.32,201313.57,215259.72,187432.59,243082.02,288738.31,124791.32,124566.94,105524.0,144689.22,17,1,4845,4,1,0,3,167779,34.629308565531474,321212.2011783197
124,Sandra Patel,25506.64,30284.93,26357.26,30876.38,86419.76,77579.7,17048.75,18709.91,22169.65,21878.23,21604.59,29285.04,51,0,3344,14,1,0,0,33977,10.160586124401913,97116.2197628984
125,David Mcguire,182930.49,517494.75,319178.97,439849.9,448269.8,552148.19,300038.17,120555.41,179337.27,149103.34,103684.14,145110.6,74,1,2236,15,0,3,5,288142,128.8649373881932,447141.49346556887
126,Richard Bowen,47904.39,49827.21,73727.19,79176.06,66564.59,51577.59,146043.2,163417.08,115933.14,118708.65,97605.43,98993.22,24,1,3889,10,1,0,2,92456,23.77372075083569,163733.45221900428
127,Sheila Lopez,54304.65,64617.91,41245.83,130667.97,106989.41,158443.84,145830.62,135027.37,131429.48,100985.85,161374.79,65458.54,34,1,3192,8,0,3,7,108031,33.844298245614034,208477.9490583844
128,Ryan Ramirez,127034.89,124634.28,113531.28,113887.65,136084.61,192837.88,194122.51,241565.28,252143.22,232263.71,271857.63,236378.27,18,1,4966,11,1,0,0,186362,37.527587595650424,610490.4821323392
129,Brittany Lopez,21683.1,16979.72,22993.87,26156.71,20661.75,18676.83,26659.46,26223.54,42385.77,40003.37,26546.86,18845.25,46,0,4365,17,1,0,0,25651,5.876517754868271,103196.44242075988
130,Michelle Humphrey,135891.22,113477.45,120361.37,196581.2,132592.31,185562.78,184808.28,131564.38,148894.4,171517.97,136410.84,420801.8,32,1,4951,21,1,0,0,173205,34.98384164815189,693635.6108603831
131,Jeremy Clark,122690.24,72836.08,76662.97,106144.0,105852.9,114799.73,104648.34,118932.16,81059.75,78611.32,120745.5,298293.23,72,1,1630,9,1,0,0,116773,71.63987730061349,348957.9073270947
