,Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Age,Gender,TransactionCount,Duration,Peak Season,Before Season months,Months left for End of Season,rate,AVG Sales,Loan Amount
14,Diane Lambert,167215.85,184360.52,170976.16,164357.43,159110.13,181106.4,149057.45,184356.45,133082.41,205616.96,339035.55,386113.85,24,0,4693,21,0,2,1,43.0496484125293,202032,764396.887119902
15,Tanya Rios,86257.92,88895.22,66472.34,92407.93,225069.55,238128.45,282328.63,298746.7,322480.91,337784.58,294989.36,334527.98,73,0,2074,21,1,0,6,107.2039537126326,222341,438611.9658234168
16,Jacqueline Leach,65615.86,59937.03,40592.15,55907.1,58839.06,52124.2,47715.45,129481.02,113808.05,51471.96,55938.36,67394.42,78,1,2283,5,0,1,1,29.15856329391152,66569,190925.2009523695
17,Scott Lee,128522.15,174911.06,152506.94,230255.48,194269.97,171584.35,167456.85,233062.64,192493.3,560192.06,655694.29,205215.44,30,1,1752,9,1,0,1,145.84132420091325,255514,662543.3642711046
18,Andrew Liu,180510.19,126679.18,314338.44,321750.63,448040.88,354141.69,492322.91,303139.71,119587.19,115362.94,107031.99,161497.39,50,0,1366,9,1,0,2,185.7247437774524,253700,711210.9308651297
19,Vickie King,137039.24,223112.7,136497.38,135460.84,319987.17,400145.65,267310.25,325717.96,225124.74,173269.12,126252.6,151074.67,67,1,2195,8,1,0,0,99.50615034168565,218416,581367.8566604446
20,Veronica Casey,139862.45,164844.26,191370.49,135943.35,179029.11,156583.88,138361.24,158693.78,147324.18,310962.0,264000.2,324264.95,26,1,3514,11,1,0,1,54.81018782014798,192603,525133.3845229627
21,Miranda Lewis,156359.14,186374.99,169075.05,198496.84,176118.32,144234.41,146319.66,111812.91,194125.83,111555.2,320150.87,126480.21,74,0,3126,15,1,0,0,54.41202815099168,170092,673714.63701081
22,Heather Calhoun,79989.36,135345.15,97374.42,103036.87,93825.37,121457.4,229963.62,224475.26,148256.87,195220.48,169248.2,133326.23,65,0,228,18,1,0,3,632.8640350877193,144293,441209.3627750946
23,Brittney Brown,134564.71,132001.58,141586.74,306613.39,324662.58,400770.17,350842.54,309717.25,227129.4,281609.28,407538.06,312914.57,76,0,1532,14,1,0,4,181.13315926892952,277496,503607.77169485873
24,Luis Hudson,18978.56,91378.62,74155.08,77544.75,58686.6,19079.45,31353.97,22921.73,29212.92,28566.12,31247.16,21109.09,32,0,4924,18,1,0,1,8.533712428919577,42020,108074.07927877955
25,Robert Morales,71220.94,67154.36,46219.92,80572.88,75744.29,66725.13,21310.87,20044.81,27938.97,21725.49,22325.32,26194.24,69,0,4335,8,0,2,5,10.518569780853518,45598,107181.48824357693
26,Paul Lewis,187048.86,244043.52,130201.51,116246.02,184629.73,149167.72,111985.76,185007.72,104693.34,159403.75,180812.7,137115.35,26,0,2971,14,0,3,0,53.02255132951868,157530,707663.3629959044
27,Jack Nelson,87296.06,80603.26,99466.62,69799.21,81638.44,98707.45,98542.52,75170.71,156839.73,126821.47,105683.91,74549.36,31,1,92,13,0,3,1,1046.304347826087,96260,255873.89040531634
28,Brenda Johnson,91663.51,97486.11,178977.89,81113.82,127755.01,92822.38,96022.07,113888.79,104054.15,124041.27,126850.73,123319.04,48,0,1214,18,0,3,0,93.2174629324547,113166,499312.9091381522
29,Sara Gutierrez,61611.82,36952.2,57696.72,36903.05,37006.3,51633.31,55357.08,39515.6,122097.89,109136.26,52902.79,45702.94,32,0,4592,7,1,0,1,12.821428571428571,58876,147339.43817261938
30,Amber Dean,73947.98,67111.05,84757.99,91886.87,81903.29,75056.24,66564.11,67662.35,96044.87,63238.13,191462.83,68395.23,77,1,2884,6,0,1,0,29.70492371705964,85669,212529.6925136505
31,Kelly Hudson,73731.11,326874.12,124791.87,109477.35,124939.27,70420.48,74277.99,115369.93,100882.23,96375.69,99928.08,98405.36,40,1,1693,6,1,0,0,69.67277023036031,117956,208949.65391822654
32,Darren Mccarty,193387.46,192877.95,142341.7,129451.51,172733.37,202628.47,130735.91,198489.13,185398.32,350940.07,425637.32,144852.28,54,0,433,5,1,0,0,475.2632794457275,205789,687130.1793430167
33,Scott Blanchard,147966.87,138879.45,156457.74,330190.12,375517.87,147903.03,104757.78,140087.11,113066.29,128774.66,113172.8,128485.84,28,1,2232,11,0,3,1,75.6146953405018,168772,304443.8520758961
34,Elizabeth Simmons,126965.85,84791.99,133315.02,123035.78,143398.43,95059.98,135254.51,94037.6,97276.77,366704.88,372583.25,327857.43,80,1,3012,9,0,3,2,58.10856573705179,175023,249460.79302403348
35,Michelle Vaughn,131918.5,122810.69,102320.4,122571.92,120869.0,391752.22,275113.4,266837.29,142383.01,128643.87,137806.21,163511.77,23,0,2138,11,0,1,2,82.10710944808233,175545,442687.2763426864
36,Justin Weeks,45850.04,33257.92,45789.06,37844.8,36243.42,33926.1,41780.81,55996.86,81991.88,55485.97,67467.2,37463.22,73,0,519,6,0,2,3,92.01926782273603,47758,136368.29698475223
37,Denise Simpson,66443.94,53649.55,68681.09,56518.32,67320.29,39032.91,48460.06,39683.48,47490.24,58809.95,47517.21,111498.32,29,1,1692,9,0,3,0,34.727541371158395,58759,265300.52692368365
38,Jimmy Nixon,62487.95,82902.04,55094.9,109004.33,142312.02,135208.93,99536.7,108816.04,145244.34,97506.94,89591.16,52811.12,40,1,2877,12,0,1,6,34.19395203336809,98376,214611.12299143668
39,Daniel Hahn,41373.4,44252.27,33098.09,124598.72,125155.4,83346.52,131472.69,112249.29,121521.59,36244.02,31656.85,47472.15,70,0,1307,6,1,0,5,59.45141545524101,77703,100065.93493702667
40,Samantha Stark,195975.91,176061.96,161721.7,210182.0,216546.5,195937.54,124558.49,331342.95,329692.67,264677.81,198360.24,153881.44,40,1,3327,10,1,0,2,64.09528103396454,213245,785748.3119080771
41,Brenda Adams,166676.98,158102.23,139979.96,394278.75,457153.79,189853.36,232393.87,199757.57,187241.26,207860.82,153639.59,185083.45,61,0,1182,6,1,0,1,188.38240270727582,222668,638737.9797432601
42,Steven Dixon,38235.16,37086.69,24280.54,36663.35,30145.66,26138.2,26787.25,46838.19,53253.95,40979.15,59386.76,40156.67,76,1,2842,13,0,3,3,13.486629134412386,38329,103299.04474774246
43,Morgan Patterson,64680.98,66821.73,67338.99,79030.22,48943.29,54421.68,49663.46,45531.29,54362.31,52529.91,75356.11,90509.59,76,0,1247,10,0,3,0,50.065757818765036,62432,239725.13142672396
44,Tracy Duncan,72214.78,86848.46,126859.17,84393.05,99907.4,99631.5,115944.27,98024.38,121059.6,119711.58,187336.06,123217.26,74,1,4359,7,0,2,0,25.52466161963753,111262,359782.41573209385
45,Denise Dunn,92541.11,67091.94,92313.6,79333.4,70482.77,93492.35,107395.89,85882.93,291498.03,227072.89,250822.48,234217.8,67,1,1188,19,1,0,1,118.6969696969697,141012,459316.31624549296
46,Hannah Young,168126.84,198195.53,211012.56,233231.15,181611.75,209188.74,143999.43,207648.23,204941.8,238078.97,231650.85,266672.8,46,1,2247,21,0,3,0,92.50689808633734,207863,849576.1504108993
47,Dennis Salas,22022.4,26036.05,31424.17,21983.84,23132.26,22277.59,15136.22,17492.8,19592.82,24024.71,20621.35,21907.4,62,1,2457,13,1,0,0,9.01017501017501,22138,61102.78488219485
48,Vincent Lee,92908.6,121625.14,104229.4,255209.76,232847.08,198645.46,231805.04,263685.06,169682.44,257218.05,84128.45,72108.04,53,0,4342,4,0,2,6,39.99861814831875,173674,212427.9643412691
49,Krista Kane,205596.47,189628.37,344197.55,226845.7,288898.11,206212.63,283029.01,258159.07,198686.92,316086.61,104239.11,77164.06,33,1,4736,11,1,0,1,47.48627533783784,224895,261370.7444664755
50,Sheri Morton,144016.73,422044.79,269665.99,395533.36,324354.9,352211.28,274856.16,425286.09,402076.57,361656.29,98047.9,145636.82,62,1,841,4,0,1,8,358.24256837098693,301282,318774.27538608183
51,Olivia Wallace,195701.89,115943.83,164596.16,174469.26,158907.29,121139.57,195670.97,171656.1,312557.29,261210.38,321466.34,124648.4,18,1,422,18,1,0,1,457.7345971563981,193164,592216.9200007309
52,Thomas Holland,257154.93,221220.49,175053.21,287711.88,238920.01,291223.19,176871.78,281026.64,269241.83,288437.9,232358.85,200707.56,71,0,2642,14,1,0,0,92.0995457986374,243327,476529.64589114976
53,Robert Anderson,221305.51,136928.01,196907.31,220923.12,176830.5,149900.21,403127.97,345131.72,136796.42,150624.58,213051.94,169505.4,24,0,2024,11,0,2,1,103.79743083003953,210086,533689.2455470186
54,Jason Simpson,37874.72,36006.01,96035.58,133059.91,153220.7,44375.13,63477.92,64590.88,47944.76,44346.75,51288.94,61322.53,71,1,4562,7,0,3,2,15.226216571679089,69462,131191.1424367543
55,Jeffrey Jackson,246550.51,256411.06,227498.05,148282.45,113363.98,138713.86,161476.86,103036.68,104219.27,101543.6,129890.0,148591.31,44,0,2738,15,0,1,2,57.2063550036523,156631,570805.5521236015
56,Michael Flores,75835.33,123499.87,96161.62,126819.63,111199.95,130556.42,101339.68,107527.34,91679.61,97218.37,279214.1,249595.35,77,1,984,11,1,0,1,134.70934959349594,132554,404483.19650428125
57,Gina Leblanc,22240.54,93945.46,80083.35,58006.12,88683.61,29470.38,35600.67,21559.29,27598.47,35611.78,34614.34,22670.4,44,1,4968,10,0,3,3,9.227053140096618,45840,66522.06061366148
58,Alicia Flores,29686.57,22267.25,36354.43,38209.82,31174.73,26550.55,24459.83,23245.45,22225.33,32425.17,33160.11,56827.2,63,1,617,10,1,0,0,50.862236628849274,31382,66478.15210579247
59,Joseph Ayers,84425.69,78335.58,59817.61,103532.4,100602.26,88045.17,84149.19,90210.4,76442.22,101971.62,97045.3,129841.57,25,0,2518,16,1,0,1,36.22001588562351,91202,270860.443503802
60,Elizabeth Noble,97357.83,63861.11,88504.9,68801.3,161611.08,167166.36,186662.94,77104.75,68097.66,57687.57,53934.23,82475.07,17,0,3918,12,0,1,2,24.954568657478305,97772,227803.32130543943
61,Michael Sutton,148916.2,193468.51,207763.77,227299.99,151307.31,465117.72,518934.22,426801.47,491069.96,544716.05,356004.03,166423.17,57,0,1144,6,1,0,0,283.9326923076923,324819,529898.052916095
62,Gary Dodson,110252.5,139822.83,84999.91,122372.59,116666.76,133883.25,82995.8,132414.2,176875.16,89319.1,104603.72,90671.59,30,0,660,10,0,2,0,174.85757575757575,115406,338678.8715115314
63,David Sanchez,133149.88,136998.05,182720.4,139059.45,164580.24,194420.42,181066.0,153923.59,132911.4,535153.52,586879.65,187401.24,19,0,1516,5,1,0,1,149.97031662269129,227355,504772.9730620047
64,Martin Hill,105310.38,133632.51,123071.8,85816.72,122797.07,137258.58,110002.52,330944.3,342667.65,323024.72,266412.08,296769.07,40,0,106,12,0,1,4,1869.2641509433963,198142,467475.1593775786
65,Stephanie Dixon,138914.63,147991.44,124568.29,147436.54,223419.46,266577.12,109630.19,157872.58,93435.72,141636.68,155724.77,152652.07,57,0,745,15,1,0,1,208.03758389261745,154988,448377.78068449604
66,Michael Hubbard,114109.86,167276.32,141791.77,191460.18,191214.91,128375.87,188897.8,143188.24,107847.47,168722.77,119794.06,389235.31,77,0,4884,9,1,0,0,35.01085176085176,170993,401176.0565087991
67,Shirley Rodriguez,190984.39,165756.21,263409.62,300448.13,362056.97,334316.13,464006.12,416595.96,367154.91,350986.69,141515.86,198859.53,52,1,2788,11,0,2,7,106.2916068866571,296341,945940.9127355098
68,Kevin Brown,31805.93,47365.01,45994.38,34983.16,42174.92,48845.19,33926.14,30236.34,35459.23,29625.81,52665.45,64820.28,71,1,1753,10,1,0,0,23.66913861950941,41492,85825.45664835378
69,Christopher Stein,113741.89,134064.62,367782.47,286439.53,316329.87,345311.69,310358.18,378738.57,373287.1,405615.44,455251.24,363124.3,61,0,686,13,1,0,0,467.6924198250729,320837,438691.0842846651
70,Brandy Fisher,63448.03,67809.24,49679.33,54143.59,78209.59,67740.28,61315.64,59878.7,85362.5,105102.97,67908.35,62238.77,44,1,3332,15,0,1,1,20.57923169267707,68570,257986.60915354206
71,Amy Hansen,82127.53,99349.5,217870.08,256961.27,202911.58,299211.87,287889.49,201377.32,275561.36,298140.8,91515.3,86974.58,44,0,1860,17,0,3,7,107.52204301075268,199991,333593.5054711673
72,Danny Young,171704.49,334111.57,495268.82,331843.82,508958.62,302779.88,320894.11,319388.26,316699.52,460709.03,112000.07,159597.63,20,0,2661,5,1,0,6,120.06614054866591,319496,551174.1303584431
73,Jennifer Nguyen,151413.39,329047.5,418340.64,338405.7,250681.21,289960.67,422886.67,407561.32,259838.75,406578.89,352906.43,271868.32,71,0,4941,9,0,2,10,65.76745598057073,324957,395955.46069858107
74,Jennifer Johns,95319.15,113390.71,92041.19,86405.91,187054.93,80494.94,79669.84,100258.12,107705.66,107920.97,96609.93,103260.74,72,0,1189,5,0,3,0,87.61816652649286,104178,301180.23138513457
75,Jennifer Anderson,78624.14,97199.41,76888.78,117990.51,118378.62,107662.58,99915.34,96831.68,133714.71,262490.61,88082.18,96744.01,21,0,566,10,0,3,0,202.37455830388691,114544,256050.64835870665
76,Melissa Woods,112825.83,85431.96,123438.04,116614.27,295777.33,367187.07,317379.27,270987.39,209887.54,213723.68,273931.07,81752.84,19,1,1422,14,1,0,5,144.68706047819973,205745,357072.828073302
77,Connor Gilbert,25325.76,25026.57,52484.97,37193.65,49286.78,40943.95,19705.36,27134.07,29226.69,21470.56,22694.0,29490.89,58,0,369,22,1,0,2,85.8130081300813,31665,114401.090711436
78,Karen Hunter,111614.95,109935.06,98025.75,132585.75,74456.37,130486.36,103234.32,87471.16,107199.91,167270.43,167649.96,114296.98,29,0,3474,9,0,2,1,33.68422567645366,117019,218619.87982710535
79,Stephanie Rice,100992.21,124019.84,108019.09,97239.01,112031.78,163115.82,93650.04,134612.21,134458.33,97977.06,74476.74,111837.98,42,1,1751,11,0,1,0,64.36493432324386,112703,437466.94951388607
80,Alex Gonzalez,40857.82,25997.33,44364.24,39178.14,32364.41,31593.23,75431.76,30074.54,38200.69,37709.07,30575.29,37772.7,28,0,3491,22,0,1,0,11.079060441134345,38677,160396.9158872264
81,Nicholas Shelton,98279.48,85072.87,98434.56,90223.57,172256.24,140697.01,133273.39,162778.79,155774.39,93413.85,94567.83,74444.75,78,0,1317,8,0,1,4,88.53530751708428,116601,186562.09950643062
82,John Garner,327598.88,257348.88,202213.43,243980.49,221239.05,331786.25,204747.32,270031.88,269983.32,264843.59,301651.75,241426.79,55,0,2047,12,0,1,11,127.70102589154861,261404,512501.21578537795
83,Angela Morgan,67546.43,93485.68,92499.99,95828.41,103078.64,79440.44,99021.82,168439.58,197146.96,78617.54,109131.14,73063.93,72,1,1185,6,1,0,0,88.41772151898734,104775,196371.53378388582
84,Paul Cruz,166006.95,160578.36,140231.63,216257.89,230321.4,632204.86,524710.06,206266.99,231416.48,205433.23,140820.09,141692.6,78,0,3062,7,1,0,0,81.53559764859568,249662,567278.0171977825
85,Connie Davenport,150961.1,206320.13,341469.16,206694.75,174181.62,220779.06,216436.9,184677.05,178771.64,137439.39,157708.72,202223.62,15,0,375,9,1,0,0,528.3706666666667,198139,571095.6949543927
86,Ann Anderson,238295.91,213913.96,229590.64,254041.26,685739.25,572585.63,480291.03,568610.53,563396.13,396927.03,467870.16,604772.46,58,0,4692,12,0,2,7,93.70609548167093,439669,968094.0927918453
87,Scott Williams,222994.42,317270.95,381511.41,185477.65,159986.08,155497.28,150514.46,211974.84,184457.36,160802.75,128078.16,176298.89,65,1,3888,11,0,3,1,52.1875,202905,415620.3329140421
88,Daniel Pineda,23571.99,25960.44,79144.29,53452.37,66069.92,59310.35,26850.82,22451.71,21659.01,26604.64,22101.77,24253.34,16,1,3085,5,0,2,3,12.19416531604538,37619,80068.31442418325
89,Christian Higgins,172530.31,137922.16,170692.69,182498.42,206571.42,194560.58,201377.49,411626.1,336882.51,480978.11,144813.38,151394.05,69,0,4709,19,1,0,1,49.4062433637715,232654,635315.6595187142
90,Madison Vazquez,187199.36,162930.57,139406.3,205557.83,164111.59,134770.38,191968.26,158088.08,435382.42,379336.06,513362.98,173711.86,28,1,3147,9,0,3,2,75.35811884334287,237152,781040.8939076246
91,Tanya Henderson,251865.86,237958.74,444346.37,339935.66,391259.37,459343.18,294785.24,345709.67,510215.85,505127.86,235511.85,247303.17,39,0,1542,10,1,0,4,230.40207522697796,355280,415163.02207121364
92,Aaron Scott,32467.93,21962.12,109190.5,24812.95,31638.15,32582.02,23360.12,21721.84,28600.18,29203.01,36923.05,27455.95,26,0,3342,10,0,2,0,10.470676241771395,34993,79163.15737463902
93,Janice Mcclain,91668.33,97724.72,143800.7,102341.89,86672.83,124081.97,108999.72,386889.77,367008.77,122895.17,107775.49,129177.71,71,1,134,6,1,0,1,1162.3358208955224,155753,344771.7889555772
94,Jason Warren,178727.73,126200.83,104458.02,83269.93,110469.97,109994.49,87634.04,97675.12,90003.26,101099.09,124821.0,75206.16,29,1,2361,12,1,0,0,45.515883100381195,107463,286590.516186089
95,Barbara Wright,112813.47,368035.89,202558.24,139598.86,111054.67,79155.85,84807.59,116824.97,98776.56,77261.25,88500.59,138380.71,29,1,3617,19,0,2,1,37.2723251313243,134814,522481.0075156672
96,Natasha Horn,128565.75,168155.31,154946.62,143465.37,146269.74,195569.34,129287.53,146630.81,171400.09,107537.8,115476.51,478732.03,80,0,3710,13,0,3,0,46.856064690026955,173836,469271.8987851041
97,Sarah Colon,214789.91,171403.78,135441.06,174011.54,190604.57,142651.55,141611.88,135729.04,180590.4,274676.85,280082.43,357793.67,56,0,3504,10,0,3,2,57.06307077625571,199949,575066.6729096635
98,Johnathan Schultz,115614.66,135787.5,130406.59,61503.62,87027.33,64291.11,90391.42,86534.73,54241.17,86796.05,80023.98,84313.07,49,1,2068,5,0,1,2,43.39651837524178,89744,193545.57357136995
99,Douglas Jones,190773.28,189995.25,207664.4,210633.29,154181.7,124552.74,170435.7,156168.95,183833.03,129403.95,180311.82,336800.37,67,0,3013,7,1,0,0,61.80882841022237,186230,501372.0762948555
100,Kenneth Lynch,163825.01,194490.78,148093.36,152746.53,145158.87,441646.27,541718.59,333979.05,148238.7,181618.8,148573.43,151886.39,80,0,1680,11,1,0,1,136.5065476190476,229331,606492.7388158042
101,Andrew Gates,29163.81,22794.67,33389.36,25132.41,56819.46,48069.36,63953.46,61359.52,65591.72,44880.76,31556.25,24163.08,54,0,3903,5,1,0,2,10.822188060466308,42239,93771.78636639594
102,Charles Wallace,221632.46,283801.67,385312.51,166647.54,126372.62,222890.73,173908.28,152868.09,170254.11,143824.78,170068.83,175803.21,62,1,2303,13,0,3,1,86.60399478940512,199449,493422.3119369212
103,Justin Chung,69039.27,64399.27,105182.4,93621.63,153290.5,130546.83,124274.39,132561.26,47604.14,78152.53,76999.25,53455.96,47,0,3928,24,1,0,5,23.95468431771894,94094,315420.39762780553
104,Sherry Torres,216820.1,235818.04,253839.8,332551.82,280551.58,198508.77,217654.13,137045.24,249623.37,161325.41,198414.25,143752.82,39,0,4921,6,0,1,3,44.46758788864052,218825,630897.3689817345
105,Hannah Sweeney,160058.27,184447.85,329446.34,400547.5,335346.61,334022.27,396191.88,329729.3,193975.44,164240.4,154898.4,140479.7,67,1,4385,23,0,1,5,59.35735461801596,260282,835942.4874746208
106,Caleb Harris,142491.63,146473.58,100781.04,136176.9,143343.55,161470.5,146886.74,142980.9,157885.3,161189.71,104516.3,373283.08,62,0,3951,12,0,1,0,40.4429258415591,159790,523440.35138382943
107,Mitchell Vasquez,106052.19,90903.62,65920.74,83736.33,100309.67,83635.9,74838.48,223491.11,210218.45,148229.8,196353.3,64551.53,32,0,2278,5,1,0,3,52.9793678665496,120687,263480.52710564627
108,Aaron Hernandez,104338.25,142274.7,169446.84,176169.4,128662.98,130219.15,121588.93,146597.96,153071.0,310201.98,307797.03,369194.04,63,1,1906,15,0,1,2,98.79171038824764,188297,407174.49820554274
109,Nicholas Jackson,207486.74,204079.69,401377.34,379829.71,275359.94,372678.15,377145.99,489056.65,209026.59,200187.38,158886.37,140313.74,44,1,4379,5,0,2,5,64.99634619776205,284619,526604.3816235354
110,Pamela Aguilar,55460.41,82015.58,72069.58,55473.91,72649.23,77557.32,66416.92,63778.71,76759.6,60336.03,54604.34,106642.12,74,0,1199,8,0,1,0,58.643869891576315,70314,148412.43306694645
111,Deborah Wilson,52365.77,43389.21,128220.29,125166.72,105829.05,87107.1,61260.31,38926.17,39982.22,57035.04,42184.22,46993.18,42,0,2865,13,0,3,3,24.097033158813264,69038,254204.8065373924
112,Ronald Smith,30658.16,50598.36,79726.08,69274.95,35445.1,28815.99,36726.22,33282.21,41663.95,33137.02,35516.71,30491.26,67,1,2791,15,0,2,2,15.088140451451093,42111,143332.32497897383
113,Mary Lyons,125076.46,123288.79,119649.78,141464.56,111579.05,106662.45,148206.12,154964.31,151126.22,114500.16,484259.71,99913.65,19,0,4932,13,1,0,0,31.776966747769666,156724,533096.9218747424
114,Krista Cardenas,108612.84,68026.69,105315.77,69329.92,122002.6,117887.8,99673.93,108404.29,157844.12,179585.82,122401.29,161120.56,52,0,4131,15,0,3,4,28.649237472766885,118350,294698.6533648394
115,Felicia Clark,73915.94,71936.21,102567.36,77355.21,141357.83,232582.9,139406.21,165982.53,173563.49,199895.43,142485.95,104648.54,28,0,2731,10,1,0,5,49.60637129256683,135475,273238.24865388084
116,Shari Thomas,84835.33,98806.32,88091.11,123526.86,108506.63,104806.53,97358.65,78257.01,91207.12,98692.96,174756.48,117177.88,61,1,1304,11,0,3,0,80.90644171779141,105502,267452.7642896671
117,Stephanie Austin,61036.24,73586.78,66053.27,70723.89,68116.53,55347.92,67800.77,130152.93,43441.16,60717.07,62807.81,41352.38,18,1,3149,14,0,1,0,21.20069863448714,66761,168448.6634376545
118,Hannah Richardson,129956.92,114779.6,168150.64,135988.33,158887.24,187414.51,402895.19,281908.69,320095.19,116118.22,176335.17,136643.57,41,1,2370,9,0,1,2,81.89789029535865,194098,461993.4502948863
119,Jason Kane,121118.19,141663.22,114544.23,167484.63,135638.71,179460.85,154108.27,382519.52,184091.55,135236.83,200834.93,154602.41,28,1,1160,9,1,0,0,148.80086206896553,172609,485521.1255665591
120,Charles Lewis,20792.81,19811.09,24247.89,26725.08,23734.9,22668.52,24435.61,16538.42,20251.85,24890.67,22967.37,36460.84,20,1,4284,15,1,0,0,5.515172735760971,23627,101768.01473540765
121,Lisa Pace,79662.9,74806.65,85174.46,201343.59,188548.05,174983.5,185197.99,57890.37,52060.83,59895.58,73189.27,68358.05,78,0,3269,7,0,3,3,33.167941266442334,108426,304351.59769508935
122,Anne Hartman,86283.54,149319.64,113246.45,143483.38,146192.09,283839.79,373716.05,324552.79,330216.6,146593.59,131372.92,107821.98,44,0,4352,5,0,2,3,44.74264705882353,194720,244469.72331171748
123,Patricia Smith,32395.01,35184.02,27667.46,28390.36,39248.22,51380.08,46163.77,40936.81,44412.92,52139.73,27886.15,34878.13,56,0,4278,13,0,2,5,8.973819541841982,38390,88465.02098839216
124,Hector Harris,59153.89,64132.25,46942.32,38402.32,59512.8,52275.27,47080.99,59393.55,60208.08,67767.18,83970.88,93284.32,72,0,4354,8,1,0,1,14.012402388608177,61010,230495.92490962628
125,Robert Fowler,215512.42,194433.17,203645.21,135955.97,156392.14,330796.98,439293.83,410394.04,432277.29,163111.33,224825.1,170564.11,15,0,855,9,0,2,3,299.9216374269006,256433,373216.07015796576
126,Sally Ortega,24821.55,22463.98,21719.86,22067.36,20224.75,14961.67,25567.68,47228.66,40658.77,53534.88,47334.56,59813.17,63,1,3923,16,0,2,4,8.505225592658679,33366,97015.60730226465
127,Andrea Lynch,30827.82,40683.7,44681.91,25565.35,26050.39,37013.78,36918.8,45268.57,38433.76,31504.54,36253.94,96350.09,37,1,1221,5,0,3,0,33.41195741195741,40796,138268.70572180342
128,Mark Higgins,164308.37,161319.75,179497.35,179990.51,243580.7,180842.11,211046.97,210402.57,354791.85,543929.48,144747.04,242140.77,71,0,813,11,0,3,1,288.70356703567035,234716,681625.3017036609
129,Anna Davis,110305.52,105065.61,91977.05,95273.38,83016.68,81062.93,95042.37,73822.32,65524.0,113725.26,77333.48,194922.98,66,0,2647,10,1,0,0,37.37174159425765,98923,232430.94767929998
130,Lisa Parker,142151.95,122780.97,170882.5,115703.72,166124.98,123006.96,151682.69,125575.5,119264.71,117350.09,128714.62,248767.82,31,0,214,5,0,2,0,674.4579439252336,144334,569816.3455964167
131,Howard Edwards,33054.96,32608.1,25023.57,34443.32,29183.27,37964.18,37077.9,100679.07,107486.09,34033.0,32514.19,39039.69,65,1,4740,6,0,1,1,9.54831223628692,45259,103214.2525693513
