,Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Age,Gender,TransactionCount, CreditScore,Loan Amount,Duration,Peak Season,Before Season months,Months left for End of Season
41,Evan Stevens,2546.34,1813.32,2354.12,1646.16,2581.37,1859.86,2032.16,2539.43,2753.6,2596.83,2430.83,6670.8,66,0,2093,755,4961.320916328222,5,1,0,0
42,Justin Williams,2471.24,2227.14,2851.89,2489.31,2504.18,2400.47,2595.46,2658.02,2315.24,3099.86,6300.36,9345.97,39,0,2292,831,7847.461099129338,9,1,0,0
43,Melanie Lamb,17084.69,15407.64,16328.97,17404.87,52641.41,50004.3,40429.73,49397.01,58952.3,38485.28,36570.52,54863.11,57,1,1242,409,51996.73937921082,10,0,2,7
44,Brian Anderson,7572.33,19990.8,16045.73,16938.11,17845.81,22062.09,18456.54,10301.54,8868.29,8314.13,12813.19,9674.56,56,1,2939,830,30143.11387177838,4,0,3,5
45,Adam Rodriguez,2598.34,2155.16,2844.68,1862.27,1900.47,5321.32,4661.97,6058.02,4767.18,4767.16,2293.71,2352.11,28,0,1033,393,6111.756518602848,5,0,1,4
46,Donald Gordon,18592.43,21718.19,16664.55,18829.43,18050.43,36018.49,54696.67,18156.64,12853.26,21774.45,15505.45,18511.29,33,1,2869,529,42943.81774855536,12,1,0,0
47,Joshua Morrow,49445.31,43304.63,53908.29,39792.95,51122.93,20185.86,22316.03,21202.23,15776.79,18468.47,18703.48,16656.7,18,1,4160,434,52859.23631407246,6,0,2,4
48,Brent Lamb,2679.87,3360.2,3215.4,3633.3,2059.1,3440.52,1990.07,2838.15,2907.74,2586.99,8264.98,2079.23,39,0,492,463,7073.6521188628785,10,1,0,0
49,Christopher Peterson,7039.5,6728.2,7317.69,9573.71,19461.53,27859.89,17057.22,10422.3,7962.8,10292.75,7672.53,9658.59,21,0,3821,786,21059.160549026157,11,1,0,2
50,Harold Mathis,5050.65,4445.05,3842.15,4749.79,5976.18,4821.56,4782.87,15195.37,12889.15,6492.57,3960.32,4573.53,26,1,2463,422,13344.086089004735,12,0,3,1
51,Kathleen Skinner,7513.09,6198.03,5281.67,7838.67,6287.66,7359.69,7269.0,6069.64,4926.14,14217.65,24902.69,19260.87,57,0,223,398,18540.372648538316,4,0,1,2
52,Ashley Gilbert,9315.63,7499.75,11465.82,11633.9,7496.04,7548.13,10177.07,9252.31,9677.21,20046.91,14618.97,9404.17,38,1,673,827,18493.012694189914,9,0,2,1
53,Jennifer Stephens,6369.86,14839.97,6190.05,4990.99,6584.9,4824.3,6300.63,5713.97,3572.26,4659.31,5732.37,4690.94,17,1,1090,820,12104.965759736328,11,1,0,0
54,Deborah Phillips,3813.2,5268.33,5506.19,4561.41,5251.22,5017.63,3527.98,5309.93,5708.53,5275.65,7317.6,4914.09,26,1,3318,659,9659.833603308862,6,0,3,1
55,Christina Sandoval,8312.31,8388.38,9078.41,7618.47,13010.02,15929.03,16687.4,11891.08,16375.4,11663.56,5759.43,6688.38,29,0,381,856,14089.469073218279,10,1,0,1
56,Michelle Melton,23210.44,20392.4,39806.27,54567.44,40893.42,42813.37,65053.09,65947.34,48496.94,38401.27,61642.72,21745.73,54,1,799,711,45943.26085362918,12,0,3,8
57,Anna Smith,10182.44,9245.11,10927.35,14514.88,11194.75,10912.39,13236.03,10444.35,13358.97,14359.51,22412.15,18929.08,17,1,1488,721,32869.97044526838,8,1,0,1
58,Matthew Phillips,24635.17,32275.59,40634.14,32768.29,34963.51,29084.06,40394.19,36207.43,24519.55,38878.18,17702.17,16732.47,71,1,2007,762,37816.61780556651,9,0,2,9
59,Kelly Miller,13399.89,15461.76,15835.87,14864.2,12544.07,11821.14,14282.77,14548.42,11323.5,12282.65,8443.4,10940.51,76,0,1734,757,28102.918289065223,9,1,0,7
60,Zachary Miranda,15433.94,12204.93,16925.0,35068.69,14457.29,17143.6,10147.93,15844.66,14208.66,10261.33,11146.01,9564.35,67,1,4692,697,27430.1496539495,3,0,1,0
61,Tracie Flynn,6175.44,4571.23,7209.1,5879.58,6191.62,7449.35,10867.98,13292.25,13560.13,6498.69,6576.33,4553.7,65,1,1314,858,12223.322830874651,10,1,0,1
62,Shelly Lewis,13187.55,11087.5,10212.13,10219.24,13170.17,28726.53,21358.59,30583.4,38121.15,29405.52,29169.99,8204.31,64,0,4130,506,23063.15169122836,9,0,3,5
63,Nicholas Williamson,9393.97,8064.55,9267.85,8308.32,9888.04,7472.57,10814.49,16313.47,10408.87,11328.18,10860.35,7770.99,62,0,1064,516,20873.991262285563,6,1,0,2
64,Jessica Luna,19232.07,37780.88,40795.68,54883.67,57254.87,21898.46,17549.14,23310.16,24674.38,24458.41,16664.12,18064.95,61,1,390,393,58221.544111033814,11,0,2,3
65,Erin Mills,21595.74,15350.01,44208.62,61513.67,61606.79,76951.15,73388.45,74402.72,15550.66,21828.98,16057.5,25060.52,72,1,2473,784,56568.846685574346,6,1,0,5
66,Mary Martinez,9118.61,5658.72,6091.74,7341.48,9273.92,8951.85,7361.79,10104.42,17884.37,13376.55,13524.9,20737.8,74,0,2285,897,19501.533382899288,5,1,0,2
67,Angela Neal,10296.98,10575.61,15093.15,13551.88,16921.1,9968.98,14227.83,12397.1,15882.05,10063.13,13138.38,22282.05,23,1,1180,325,34237.77853615046,12,0,2,0
68,Brian Williams,6318.66,7183.59,7220.88,7266.99,6195.74,15287.37,17763.25,5228.84,7560.99,5474.64,4394.63,4933.2,71,0,706,312,13245.983281672017,6,0,1,1
69,Katie Keller,10859.87,10361.45,10353.03,11374.17,12527.3,11829.69,16234.75,14521.08,13061.71,30668.02,11798.43,17097.93,16,0,1356,543,28504.134683441796,11,1,0,0
70,Thomas Rodriguez,5885.98,4262.97,3861.98,4039.9,4098.53,6595.47,6618.05,8482.51,4748.2,4014.79,4636.17,5160.77,67,1,3725,898,12787.18605562586,8,1,0,1
71,Linda Foster,4535.43,5535.59,3981.44,3496.24,6214.05,4560.84,5037.23,6222.35,4727.56,3483.63,4939.18,8641.63,35,1,1447,812,11626.49375830074,11,0,3,0
72,Elizabeth Williams,37021.33,32221.97,35826.26,17673.19,11725.05,9829.6,12563.65,10348.36,12852.07,16975.13,18132.22,13881.27,79,1,420,742,35148.09894599106,4,1,0,2
73,Anthony Mcgee,9485.09,9523.07,11932.1,10949.91,11913.96,8410.61,7424.72,6904.08,11887.07,9852.49,9441.8,20574.54,60,1,2985,662,25212.519979392997,3,0,3,0
74,Dillon Hawkins,3635.67,3815.96,3907.19,3301.12,4243.5,7072.41,6449.88,8294.59,7260.09,6610.1,8371.71,7492.78,79,1,4975,365,8801.548250898031,12,0,2,6
75,Jeffrey Sharp,2582.44,2146.8,2531.15,1973.03,1916.73,1658.17,4208.92,5806.29,4101.35,4328.99,2295.94,1823.76,68,1,3440,640,4616.144192849656,8,0,2,3
76,April Reed,18012.78,10596.77,49959.95,39667.35,36884.43,9904.05,10194.75,16978.02,13017.95,10956.23,12284.79,10724.32,68,1,3770,490,40973.860688052,6,1,0,0
77,Brian Martin,4344.83,4293.58,5584.92,5529.16,16996.01,11207.16,14407.29,6041.29,4472.31,6419.22,4048.09,6272.63,69,0,771,454,12797.787979789195,9,0,2,2
78,April Powell,6355.89,5605.35,6167.88,7535.47,6503.09,5603.22,7862.28,16963.45,19511.54,16533.33,13565.37,5258.83,63,1,1461,686,17136.409989250467,13,0,3,3
79,Emily Bates,14628.61,15778.47,18612.05,42292.12,34713.34,38750.26,52050.48,39728.73,41932.5,35829.9,20328.21,12449.74,54,1,4789,401,31713.997047250334,5,0,2,6
80,Kayla Hawkins,2447.95,2199.0,2403.7,2467.16,2745.12,5744.43,4995.81,2786.09,3362.73,3345.31,2909.64,3329.34,54,0,1894,725,7555.203145091775,13,0,2,1
81,Nancy Trujillo,4782.44,4131.61,6260.2,6384.92,3515.17,4234.85,5146.44,4242.55,3672.35,3859.45,6132.2,5563.38,75,0,193,561,12713.025569094532,4,0,3,0
82,Ian Davis,14635.05,19693.55,40779.09,45099.47,58378.37,45488.6,57149.56,57487.54,35788.11,52081.67,14662.31,17882.42,55,0,4939,749,39346.80023343143,4,0,1,7
83,Richard White,6499.97,8195.2,7326.11,8988.4,11258.74,10391.34,28475.72,27033.6,21848.49,8439.53,9129.85,9553.01,35,1,896,857,22796.37064972643,12,0,3,2
84,Joseph Gutierrez,13235.25,12599.5,20309.69,17578.16,17964.81,18548.05,18177.79,12519.82,19885.72,38132.73,42941.82,16143.43,72,0,4756,834,41488.67291321198,8,1,0,1
85,Marissa Norton,15347.14,23778.18,21405.24,24431.97,21405.01,21626.49,19508.05,16274.48,34651.06,19739.44,20378.24,20450.76,68,1,4965,623,52119.39630695712,3,1,0,0
86,Wendy Blair,11595.66,9973.51,26896.03,37912.09,25052.4,28292.21,24242.8,9577.73,14588.36,8680.45,9828.61,14767.86,76,1,4425,612,31012.66899862472,13,0,3,4
87,Andrew Miller,19906.54,15889.69,21608.6,13737.19,21262.77,15090.06,18217.23,19026.13,17429.07,26743.97,26640.88,36043.43,63,1,2890,744,42924.86620729586,11,0,1,2
88,George Swanson,3055.28,4301.46,5130.27,2782.77,4947.66,2783.2,5073.94,3028.16,4026.87,2774.53,3082.54,8627.65,22,1,4285,433,8611.616139178273,8,0,3,0
89,Kevin Ryan,21448.35,16837.9,20015.57,17023.55,50517.75,41804.3,55696.97,51839.44,48030.01,35401.96,52646.72,17632.58,23,0,293,879,51835.76127611286,13,0,3,6
90,Anita Sexton,4658.44,4292.81,3819.95,3463.96,4076.25,3787.39,9969.27,9195.94,10676.67,4722.8,3160.25,2796.0,71,0,2082,829,9158.242116639021,5,1,0,2
91,James Beard,8738.46,6099.04,8351.89,11001.5,6076.93,12181.9,14283.57,18540.0,12841.54,15264.01,19457.16,11442.31,46,0,2078,470,17969.26920917748,3,1,0,6
92,Chelsea Zamora,6686.52,9801.55,7185.69,11592.32,9391.76,11832.01,9670.14,10417.94,23670.52,26123.13,26708.04,28938.77,58,0,3062,629,21438.87248727771,8,1,0,1
93,Molly Morris,10686.78,10477.14,10211.01,10144.86,8900.96,7970.67,8471.54,10076.21,8917.37,8147.39,17113.17,8953.82,28,0,2174,476,20819.26911258258,3,1,0,0
94,Alejandro Cisneros,12203.1,11878.26,32917.0,24509.46,31444.65,34056.7,24479.16,22606.56,28339.65,33778.91,26363.16,31979.61,67,0,2860,412,30213.27844325559,10,1,0,1
95,Christopher Rivera,10787.01,13306.29,11633.36,10516.69,16405.33,14695.41,24413.13,27266.53,25555.58,24366.84,15705.22,13869.19,64,0,4202,878,25450.094349878527,6,1,0,1
96,Jimmy Gaines,4739.25,7509.17,6386.93,5958.41,4493.41,4939.39,7097.32,4401.29,8967.69,7598.91,13314.8,11035.76,73,0,2579,380,13040.383841902854,9,0,3,3
97,Joshua Williams,10823.17,10471.53,8149.21,13533.09,8797.54,13557.31,11570.7,10641.91,12828.96,11389.84,30528.88,24745.63,39,0,2781,804,27675.6329305944,13,0,1,1
98,Megan Sweeney,7684.93,4737.59,4919.82,7732.03,7199.16,6929.45,6219.77,15505.41,9293.48,10420.21,12374.66,13404.69,55,1,2307,431,12234.987098013371,3,1,0,1
99,Susan Beasley,4756.83,5882.22,6708.57,5479.34,5972.28,7204.95,8738.01,6703.19,6101.63,4893.56,20905.37,5531.67,41,1,1710,565,15133.675305547038,4,1,0,0
100,Riley Gaines,2014.8,1938.77,2184.77,2537.6,1669.17,2207.01,2315.36,2226.03,1962.45,6065.02,1943.56,1493.61,61,1,1639,371,5531.229712998567,4,1,0,0
101,Amy Smith,10306.24,7319.79,12706.06,13191.66,11108.96,9097.32,7693.12,8331.88,13359.98,13422.72,11164.16,22285.5,41,1,3731,702,29500.673598868303,8,1,0,0
102,Chelsea Cox,2821.93,2617.54,3349.62,2799.37,2642.05,3213.21,2593.8,3936.44,2710.82,4208.3,4240.63,12005.3,23,1,4160,620,7888.716387731876,8,1,0,0
103,Ashley Price,11280.99,7071.31,11687.54,9011.21,8427.21,8649.69,12209.6,9079.01,9795.08,17637.72,19209.22,7778.28,18,1,647,614,26701.13088605332,8,1,0,1
104,Amanda Blackburn,4580.44,4242.59,3684.03,4683.9,5516.51,4653.72,5070.8,4983.25,5045.65,3415.17,5780.34,8947.73,35,0,3487,462,10560.040695076194,3,0,1,0
105,William Oliver,15178.69,11918.22,12861.81,13922.79,13259.15,9833.76,9616.94,10029.29,11213.0,36616.09,11039.64,12348.67,78,0,2456,685,28695.4270172735,4,0,2,0
106,Brian Zuniga,8579.66,10111.0,10592.43,8281.98,14011.9,11709.13,11358.9,12166.51,8123.33,23652.16,10573.77,14106.81,35,1,661,532,27339.088804345407,6,1,0,0
107,Kelli Hall,16145.56,19128.18,12209.85,16795.79,16708.1,16372.97,17193.63,52697.72,38758.52,14778.61,12705.11,12836.19,58,0,3918,649,42795.9714199445,8,1,0,1
108,Andrea Walters,5258.6,5104.12,4770.99,7242.63,6107.12,4146.16,5232.26,7125.57,5667.73,3907.33,17896.18,6947.19,44,1,3153,385,13542.51286272723,10,0,3,0
109,Amy Hendrix,32815.09,18725.34,29906.09,27410.94,25487.02,28365.11,26697.82,14787.81,11306.12,18622.55,14743.16,12910.87,51,1,3872,720,42503.0889361071,6,0,2,6
110,Sierra Nelson,4635.43,14653.23,16762.44,11440.5,10030.95,5864.5,4057.81,6171.58,3763.68,4444.39,4436.54,6365.34,23,0,963,489,11660.334292707557,6,0,3,3
111,Tiffany Navarro,16533.33,13456.41,13520.29,9938.55,12665.15,10550.37,9415.28,16518.87,10228.06,28203.81,24422.02,12168.42,79,0,302,619,33031.53409220424,4,0,2,1
112,Stacy Gardner,5007.82,3324.18,4013.01,3877.11,5773.29,7099.68,6517.35,8363.91,7894.73,3641.78,4137.95,5043.28,35,0,3940,744,11696.951537768542,5,1,0,3
113,Lance Richardson,5702.66,6249.8,4349.92,4706.37,5522.38,6937.76,5727.46,16873.66,19532.69,20118.72,11444.09,16046.43,39,0,383,613,14886.6616903125,7,1,0,2
114,Nicholas Bush,6574.35,4237.64,7058.52,6088.63,7318.75,6717.89,4272.6,6970.67,5787.74,8702.0,9313.05,9877.33,47,1,2874,851,15441.629294316119,5,0,1,2
115,David Ford,18066.59,13398.37,16148.85,10273.7,19510.28,15829.49,27045.28,17859.26,20118.35,21544.65,22536.86,11312.74,68,1,3991,591,41751.081075449205,15,0,3,6
116,Diana Gill,18658.17,17000.37,17125.49,25115.19,28930.27,24727.91,21347.8,16808.89,24877.64,19331.92,11798.01,10171.65,32,1,1396,489,29386.479301842963,3,0,3,9
117,Anthony Palmer,15705.42,13375.17,13496.05,15472.94,11242.48,12921.33,20538.11,26272.57,25023.63,28858.49,19785.56,11216.74,72,1,8,371,42140.25522458373,12,1,0,1
118,Aaron Moran,10397.91,12727.89,13684.62,10863.21,9283.71,9530.73,30539.13,24572.43,42648.49,10605.61,13633.19,13130.41,43,0,3994,644,33730.4031357688,4,1,0,0
119,Stanley Glenn,7420.2,8212.96,6587.83,7949.53,8390.47,6100.72,6881.77,5234.94,15343.13,14138.48,16554.49,12204.48,20,0,3638,816,14338.20890513851,6,0,3,3
120,Jade Petty,10408.63,8459.04,8702.83,8998.41,10340.21,12238.61,11830.39,9689.65,9900.87,9513.05,10859.44,6566.4,34,0,2432,809,23786.605752524276,9,0,3,1
121,Alexandria Williams,9257.11,12446.0,9777.04,12895.8,8130.12,9146.25,12477.92,19584.1,18854.02,7637.46,12413.73,7824.46,76,1,4126,778,25156.59783554646,4,0,1,1
122,Natalie Miller,21742.9,16750.69,23102.68,13248.46,20922.1,20604.61,14607.27,15021.69,19362.85,19189.95,20720.09,23409.24,78,1,4855,513,33345.513389658765,4,0,3,11
123,Jonathon Walker,2845.17,1884.21,3105.55,2923.83,2920.16,2291.39,3137.08,1801.33,8520.33,2235.74,3052.78,2935.85,38,1,957,895,6055.337323311993,9,1,0,0
124,Alejandro Ford,16422.1,10387.31,16302.77,21991.2,19777.99,22510.69,20362.88,23586.97,19452.1,22818.76,21953.23,26218.95,76,1,1974,310,38700.99419555582,14,1,0,7
125,Katherine Harris,14743.24,12377.12,34447.65,36855.4,48834.92,42726.4,40507.87,34430.89,31436.84,34411.28,35788.39,44524.84,21,1,626,874,40607.936639095264,9,1,0,6
126,Marc Horton,21348.55,24800.38,16724.47,15398.08,18677.08,18535.12,23309.81,16613.5,31417.43,24302.83,24091.93,19378.47,41,1,1897,329,43662.43703676654,11,1,0,0
127,Diane Maddox,6255.2,9596.17,10940.13,10636.98,9049.78,20215.17,13008.3,22204.56,9680.82,10426.58,8519.02,8808.64,68,1,3222,306,22464.09070897927,12,1,0,0
128,Samantha Walker,10739.74,28866.11,26404.0,32417.84,41530.34,47301.24,41943.54,10102.98,10814.59,15466.66,8916.43,14773.78,65,1,189,606,31911.397114335883,4,1,0,2
129,John Mccormick,14643.34,16398.8,15131.15,10765.43,16093.88,17933.14,13217.83,12817.05,13414.68,16145.46,6424.65,4855.17,63,0,4482,739,17020.212790731308,12,0,1,9
130,Amber Mitchell,10698.8,10217.15,8178.96,11115.54,12145.86,12219.42,10358.62,11552.49,7206.98,7804.0,10376.53,37061.04,68,1,426,509,23668.453516626705,6,0,3,0
131,Tanya Mitchell,12612.99,13233.05,11339.04,8136.28,27533.51,29429.54,35238.15,30314.12,36453.94,29019.11,32216.45,30701.84,50,1,2045,493,24431.8056474756,9,0,1,7
132,Ashley Brown,4467.19,5997.44,7176.29,7853.26,5574.34,15949.11,15610.12,10816.07,14266.62,15413.48,7674.0,5220.36,50,1,4588,591,13393.405313034395,3,0,2,4
133,Jordan Becker,11509.4,11869.44,14458.99,16631.11,13983.07,18682.27,16191.2,18464.83,18020.17,18292.89,18086.98,6401.34,78,0,220,727,13467.438774181139,8,0,3,10
134,Lori Morales,13350.08,26247.81,36225.46,30161.65,26277.95,33581.29,32303.1,12953.81,17584.33,16597.73,10772.76,13233.36,39,0,1017,829,35147.74366765334,5,0,2,5
135,Stephen White,1862.1,2267.37,2875.19,2433.99,1678.71,3387.6,5510.13,3290.85,2509.13,2323.63,1923.68,2255.43,61,0,2315,827,6989.747298458811,10,1,0,0
136,Ashley Kirby,7828.04,8423.7,9787.93,7006.34,9667.85,8326.63,5876.71,9529.19,19459.98,18741.37,21093.26,20849.87,49,1,4549,382,21294.396197065646,5,0,3,3
137,Shelly Silva,5745.64,4466.46,4803.67,4190.38,6408.83,4480.72,5633.36,10872.51,14326.76,12384.32,11679.54,5089.06,43,1,1807,653,12796.953365857527,9,1,0,3
138,Lucas Gonzalez,10237.48,8284.16,10931.94,12484.82,10296.68,10606.58,9642.7,15214.19,23639.65,18341.52,15798.51,11552.45,45,1,2291,616,23411.28392859484,10,1,0,1
139,Christian Stokes,17958.94,13694.91,11665.41,14150.29,14164.38,16704.1,11418.75,10486.89,17153.94,11847.34,16051.87,23454.62,71,0,1848,893,32976.35811082577,6,0,3,0
140,Kayla Roberts,6686.64,5470.05,6284.61,6845.55,7757.34,8022.19,8009.22,5770.04,5266.18,4544.34,11819.63,15251.65,23,0,1051,837,14150.27050495016,10,1,0,0
141,Kari Meyers,33322.36,24559.31,34142.45,35661.14,25708.8,42385.67,34838.56,42088.37,27848.09,37567.62,14354.87,21793.58,47,1,225,708,52466.06832873629,10,0,1,9
142,Tyler Lowe,15546.13,17512.17,20253.16,23323.04,22598.56,20755.22,21162.52,19093.69,14167.34,23252.78,29717.66,29603.41,53,1,3637,698,40903.4466242146,7,1,0,0
143,Gerald Rodriguez,15157.33,23253.89,19550.66,31547.11,16809.08,23508.12,19055.53,21786.95,15655.61,14173.04,14632.73,23289.91,37,0,4969,345,42894.29874515279,7,1,0,0
144,Maureen Nelson,3533.5,3443.2,2786.66,2310.37,3975.04,3179.35,2704.09,3648.64,2585.48,3737.97,2382.3,4299.69,49,1,3839,794,8788.070683815775,14,0,1,0
